object,context1,avg_similarity_context1,context2,avg_similarity_context2,ambiguity_diff
apple,office,0.1063598642746607,pantry,0.1072659244139989,0.0009060601393382078
orange,office,0.1138243203361829,bedroom,0.115421953300635,0.0015976329644521031
lemon,dining_room,0.143125037352244,pantry,0.1390411307414372,0.004083906610806792
banana,bedroom,0.0812062285840511,dining_room,0.0867065625886122,0.005500334004561097
bottle,office,0.0737818454702695,playroom,0.0746744087276359,0.0008925632573663911
beer,kitchen,0.2417089492082595,garden,0.2373182624578476,0.004390686750411904
juice,playroom,0.0838402883770565,bedroom,0.0805899103482564,0.0032503780288000994
wine,bedroom,0.1197550470630327,bathroom,0.1190619766712188,0.0006930703918138909
carrot,playroom,0.0257495564098159,bathroom,0.0277492444511153,0.001999688041299401
bell_pepper,kitchen,0.1969767610232035,living_room,0.2007032260298729,0.0037264650066693994
cucumber,dining_room,0.1093072096506754,bathroom,0.1105936430394649,0.0012864333887894902
broccoli,dining_room,0.0864417168001333,laundry_room,0.0897980385149518,0.0033563217148185054
pretzel,garden,0.0980065216620763,bathroom,0.097747478634119,0.00025904302795728973
popcorn,dining_room,0.16266946742932,bathroom,0.1633301277955373,0.0006606603662172861
muffin,playroom,0.1253715629378954,garden,0.1279942433660229,0.002622680428127494
chocolate,garden,0.1709121018648147,bathroom,0.1728058407704035,0.0018937389055888043
pen,living_room,0.1306387682755788,bedroom,0.1318791359663009,0.0012403676907221106
adhesive_tape,living_room,0.2075649847586949,dining_room,0.2084813875456651,0.0009164027869701941
stapler,kitchen,0.2046903868516286,bathroom,0.2056468240916729,0.0009564372400442944
scissors,playroom,0.1421116515994072,bedroom,0.1463718165953954,0.0042601649959881915
ball,living_room,0.1105404185752074,laundry_room,0.1091993153095245,0.0013411032656829025
dice,dining_room,0.0751844396193822,laundry_room,0.0752626744409402,7.823482155799866e-05
teddy_bear,playroom,0.1582043195764223,bathroom,0.1578348005811373,0.0003695189952850064
toy,pantry,0.1498256449898084,garden,0.1514278873801231,0.001602242390314701
bowl,garden,0.1836611032485962,bathroom,0.1842718571424484,0.0006107538938522061
knife,dining_room,0.147086593012015,garden,0.1559484948714574,0.008861901859442411
spoon,dining_room,0.168601373831431,laundry_room,0.1641521652539571,0.004449208577473912
mug,office,0.1157251199086507,laundry_room,0.1185219610730807,0.0027968411644300056
glove,kitchen,0.1843696435292562,bedroom,0.1802735527356465,0.004096090793609702
belt,kitchen,0.0918757319450378,bedroom,0.0919606996079285,8.49676628907059e-05
sock,kitchen,0.1564611494541168,playroom,0.1583558072646459,0.00189465781052911
tie,bedroom,0.0848937183618545,dining_room,0.0881969419618447,0.0033032235999902043
computer_mouse,office,0.171554148197174,bedroom,0.1782482912143071,0.006694143017133114
coin,kitchen,0.0827215140064557,office,0.0847655422985553,0.0020440282920996117
calculator,office,0.1169883545177678,bedroom,0.1169827828804652,5.571637302609345e-06
mobile_phone,kitchen,0.1537460933128992,bathroom,0.1449459021290143,0.00880019118388492
remote_control,kitchen,0.1234690571824709,bedroom,0.1264100447297096,0.002940987547238691
toothpaste,office,0.0247245871772368,living_room,0.0262684803456068,0.0015438931683699995
aerosol_can,kitchen,0.1087625653793414,bathroom,0.1124778408557176,0.0037152754763762064
box,kitchen,0.2293192148208618,laundry_room,0.2292629008491834,5.631397167837893e-05
boot,kitchen,0.1139198963840802,playroom,0.1146320477128028,0.0007121513287225989
towel,playroom,0.1527800783514976,dining_room,0.1582722316185633,0.0054921532670657025
flower,dining_room,0.1562855864564577,laundry_room,0.1566609715421994,0.0003753850857416974
candle,dining_room,0.1689083166420459,laundry_room,0.1737476363778114,0.004839319735765513
bell,dining_room,0.1481849153836568,garden,0.1439586629470189,0.004226252436637906
